round,data_root,pid,stop_count,tray_exit_code,residual,formal_unchanged,result
1,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-1-3034bcdaaf404696ac2d764284b90018,14004,2,0,0,True,PASS
2,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-2-8aa843193bdc4a41adf03710f179eb09,5828,2,0,0,True,PASS
