round,data_root,pid,stop_count,tray_exit_code,residual,formal_unchanged,result
1,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-1-0e5d576da0d14ebf9f3788bf4a216cd2,10776,2,0,0,True,PASS
2,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-2-f2208952017e43c88560af983714e948,38312,2,0,0,True,PASS
