round,data_root,pid,stop_count,tray_exit_code,residual,formal_unchanged,result
1,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-1-29f12c1ee7f846d5a65830e738dc3f9e,48888,2,0,0,True,PASS
2,C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-2-8b96322ba99b4fcca3c7a10bbdfdbd57,27060,2,0,0,True,PASS
